,Date,cost,rate,gal,miles,perMile,mileage,comment
284,T2017-04-29,24.46,2.269,10.78,292.4,0.08,27.12,
285,T2017-05-10,24.09,2.229,10.807,293.2,0.08,27.13,
286,T2017-05-22,24.42,2.229,10.956,263.1,0.09,24.01,
287,T2017-05-29,23.73,2.199,10.793,324.1,0.07,30.03,
288,T2017-06-06,22.79,2.189,10.412,268.7,0.08,25.81,
289,T2017-06-17,24.17,2.099,11.513,274.9,0.09,23.88,
290,T2017-06-25,13.19,2.149,6.138,157.2,0.08,25.61,
291,T2017-07-01,18.23,2.149,8.483,267.7,0.07,31.56,
292,T2017-07-07,22.95,2.159,10.628,283.2,0.08,26.65,
293,T2017-07-14,23.26,2.149,10.825,300.6,0.08,27.77,
294,T2017-07-24,23.87,2.149,11.107,269.1,0.09,24.23,
295,T2017-08-02,24.05,2.189,10.986,309.6,0.08,28.18,
296,T2017-08-06,19.33,2.189,8.829,266.4,0.07,30.17,
297,T2017-08-07,21.47,2.459,8.732,340.5,0.06,38.99,
298,T2017-08-19,26.08,2.419,10.782,333.2,0.08,30.9,
299,T2017-08-24,23.88,2.249,10.619,390.3,0.06,36.75,
300,T2017-09-02,28.44,2.659,10.695,333.9,0.09,31.22,
301,T2017-09-17,28.03,2.599,10.785,294.3,0.1,27.29,
302,T2017-09-29,26.21,2.489,10.532,263.6,0.1,25.03,
303,T2017-10-12,22.34,2.389,9.351,234.4,0.1,25.07,
304,T2017-10-25,25.2,2.349,10.726,275.7,0.09,25.7,
305,T2017-11-03,17.77,2.289,7.762,194.4,0.09,25.05,
306,T2017-11-05,21.92,2.559,8.565,315.3,0.07,36.81,
307,T2017-11-07,18.78,2.699,6.959,248.1,0.08,35.65,
308,T2017-11-16,22.05,2.299,9.591,289.6,0.08,30.19,
309,T2017-11-18,19.57,2.559,7.648,242.5,0.08,31.71,
310,T2017-12-04,24.96,2.289,10.906,305,0.08,27.97,
311,T2017-12-17,27.29,2.459,11.097,255.7,0.11,23.04,
312,T2017-12-26,14.02,2.219,6.318,181.9,0.08,28.79,
313,T2017-12-27,27.81,2.629,10.58,338.8,0.08,32.02,
314,T2017-12-30,22.88,2.559,8.94,268,0.09,29.98,
315,T2018-01-01,5.91,2.539,2.328,39.3,0.15,16.88,
316,T2018-01-05,31.2,2.759,11.307,346.3,0.09,30.63,
317,T2018-01-17,25.32,2.329,10.872,290.4,0.09,26.71,
318,T2018-02-08,24.58,2.449,10.036,232.2,0.11,23.14,
319,T2018-02-22,24.6,2.329,10.564,258.9,0.1,24.51,
320,T2018-03-09,25.24,2.299,10.977,279,0.09,25.42,
321,T2018-03-26,10.16,2.459,4.132,102.5,0.1,24.81,
322,T2018-03-27,25.31,2.799,9.043,315.8,0.08,34.92,
323,T2018-03-30,14.41,2.699,5.338,172.5,0.08,32.32,
324,T2018-04-02,25.53,2.459,10.382,346.8,0.07,33.4,
325,T2018-04-12,27.87,2.539,10.976,326.6,0.09,29.76,
326,T2018-04-25,29.06,2.659,10.93,254.2,0.11,23.26,
327,T2018-05-10,26.76,2.759,9.7,240.8,0.11,24.82,
328,T2018-05-23,29.67,2.859,10.378,271.5,0.11,26.16,
329,T2018-06-06,24.54,2.839,8.643,208.8,0.12,24.16,
330,T2018-06-17,22.95,2.839,8.084,187.4,0.12,23.18,
331,T2018-06-21,29.87,2.799,10.672,314.1,0.1,29.43,
332,T2018-06-27,27.33,2.759,9.904,327.9,0.08,33.11,
333,T2018-07-09,29.77,2.759,10.791,256.7,0.12,23.79,
334,T2018-07-14,18.66,2.739,6.813,155.9,0.12,22.88,
335,T2018-07-16,29.03,2.969,9.779,349,0.08,35.69,
336,T2018-07-20,19.5,2.929,6.657,245.7,0.08,36.91,
337,T2018-07-23,31.01,2.789,11.118,379.5,0.08,34.13,
338,T2018-08-17,21.49,2.699,7.964,185.3,0.12,23.27,
339,T2018-08-21,28.38,2.699,10.516,355.8,0.08,33.83,
340,T2018-08-31,29.63,2.739,10.817,314.5,0.09,29.07,
341,T2018-09-21,27.23,2.689,10.125,251.8,0.11,24.87,
