Date,cost,rate,gal.,miles,perMile,mileage,comment
3/21/2011,28.99,3.359,8.632,276.6,0.1,32,
3/30/2011,34.1,3.509,9.717,343.3,0.1,35.3,
4/12/2011,37.21,3.699,10.059,337,0.11,33.5,
4/25/2011,36.29,3.689,9.838,340,0.11,34.6,
5/9/2011,41.07,3.759,10.927,349.3,0.12,32,
5/27/2011,37.54,3.579,10.488,358.5,0.1,34.2,
6/4/2011,32.21,3.519,9.154,330.4,0.1,36.1,
6/9/2011,38.23,3.529,10.832,377.9,0.1,34.9,
6/17/2011,30.14,3.399,8.866,309.5,0.1,34.9,
6/25/2011,31.12,3.419,9.101,283.6,0.11,31.2,
6/29/2011,25.39,3.459,7.341,223.7,0.11,30.5,
6/30/2011,29.78,3.449,8.635,318.5,0.09,36.9,
7/1/2011,29.06,3.379,8.599,290.8,0.1,33.8,
